"sample_id","condition","fssi_frozen_weighted","fssi_frozen_equal_weight","pathological_component","repair_component_reversed","Fib5_three_marker_baseline","collagen_ECM_raw","threshold","annotation_sensitivity","fibroblast_cell_n","dataset_id"
"HK1","keloid",0.462046107900683,0.488831656523204,1.053619477881,-0.217153120174036,0.517426318383647,3.68584070488247,0.4,"reference_transfer",2152,"GSE191067"
"HK2","keloid",0.3271643673526,0.234282084133909,1.11571307974181,-0.86750666037596,0.753379503104652,4.17798772668901,0.4,"reference_transfer",1082,"GSE191067"
"HK3","keloid",0.0329847955501645,-0.0141095154764775,0.165417053896889,-0.238517727193186,-0.309784942204163,3.40804837147904,0.4,"reference_transfer",250,"GSE191067"
"HNSR1","normal_scar",0.40162707353303,0.411127105344981,0.984336113537045,-0.305384154895099,0.728637290627552,4.0081314401804,0.4,"reference_transfer",1810,"GSE191067"
"HNSR2","normal_scar",0.391092943186898,0.444458863203611,1.22885210090592,-0.536032683924274,0.483029692469447,4.12431633339864,0.4,"reference_transfer",2170,"GSE191067"
"HNSR3","normal_scar",-0.660973544183627,-0.60481022636041,0.352799984994617,-1.80182299055419,-0.469796388327983,3.39344552959935,0.4,"reference_transfer",1618,"GSE191067"
"HNS1","normal_skin",-1.33563203791454,-1.41346170152995,-0.0903289374813274,-3.06737765659073,-0.990983883152529,3.15795137536053,0.4,"reference_transfer",2647,"GSE191067"
"HNS2","normal_skin",-1.24187178591127,-1.20469240440081,-0.913852513291324,-1.56824226828767,-0.469052570430511,1.73855061276602,0.4,"reference_transfer",2892,"GSE191067"
"HNS3","normal_skin",-1.53118768269436,-1.50066012082265,-0.737390254347238,-2.4547474539169,-1.18556968327562,2.23416499018371,0.4,"reference_transfer",1591,"GSE191067"
"HK-NS1","perilesional_skin",-0.888826154251895,-0.906370987305095,0.174950154075837,-2.25802241403126,-0.451793623463996,3.50643248408314,0.4,"reference_transfer",4000,"GSE191067"
"HK-NS2","perilesional_skin",-1.30202004697929,-1.46238121633434,-0.132027439642225,-3.12532343719949,-0.99342660887883,2.97736373893069,0.4,"reference_transfer",996,"GSE191067"
