"dataset_id","sample_id","condition","axis_id","ligand","receptor","expected_delta","high_fibro_cells","low_fibro_cells","myeloid_cells","downstream_target_n_removed","high_score","low_score","delta_high_minus_low","expected_direction_support"
"GSE191067","HK-NS3","perilesional_skin","TGFB1_TGFBR","TGFB1","TGFBR1;TGFBR2","positive",273,273,208,50,0.0549284575237895,0.023304443667815,0.0316240138559746,TRUE
"GSE191067","HK-NS3","perilesional_skin","CXCL12_CXCR4","CXCL12","CXCR4","negative",273,273,208,50,0.496389061813862,2.92852433095724,-2.43213526914338,TRUE
"GSE191067","HK-NS3","perilesional_skin","CSF1_CSF1R","CSF1","CSF1R","negative",273,273,208,50,0.0791827823466198,0.368741920217022,-0.289559137870402,TRUE
"GSE191067","HK-NS3","perilesional_skin","PDGFB_PDGFRA","PDGFB","PDGFRA","negative",273,273,208,50,0.142711093402223,0.124145580781614,0.018565512620609,FALSE
"GSE191067","HK-NS3","perilesional_skin","MIF_CD74","MIF","CD74","positive",273,273,208,50,6.83743256581158,5.09983277289914,1.73759979291244,TRUE
"GSE191067","HNS1","normal_skin","POSTN_ITGAV_ITGB1","POSTN","ITGAV;ITGB1","positive",660,660,190,50,0.0473716244302619,0.0222346795648211,0.0251369448654408,TRUE
"GSE191067","HNS1","normal_skin","TGFB1_TGFBR","TGFB1","TGFBR1;TGFBR2","positive",660,660,190,50,0.0339141371142834,0.0234959131016702,0.0104182240126133,TRUE
"GSE191067","HNS1","normal_skin","CXCL12_CXCR4","CXCL12","CXCR4","negative",660,660,190,50,2.0769444866202,4.28070915760875,-2.20376467098855,TRUE
"GSE191067","HNS1","normal_skin","CSF1_CSF1R","CSF1","CSF1R","negative",660,660,190,50,0.138935488655963,0.292398182009819,-0.153462693353856,TRUE
"GSE191067","HNS1","normal_skin","PDGFB_PDGFRA","PDGFB","PDGFRA","negative",660,660,190,50,0.197765194703386,0.37469718326386,-0.176931988560474,TRUE
"GSE191067","HNS1","normal_skin","MIF_CD74","MIF","CD74","positive",660,660,190,50,5.36966013298058,5.09569788297194,0.27396225000864,TRUE
"GSE191067","HNS2","normal_skin","POSTN_ITGAV_ITGB1","POSTN","ITGAV;ITGB1","positive",723,723,153,50,0.00438732707454267,0.00140027680647755,0.00298705026806512,TRUE
"GSE191067","HNS2","normal_skin","TGFB1_TGFBR","TGFB1","TGFBR1;TGFBR2","positive",723,723,153,50,0.0576369565905435,0.0414177967598502,0.0162191598306933,TRUE
"GSE191067","HNS2","normal_skin","CXCL12_CXCR4","CXCL12","CXCR4","negative",723,723,153,50,0.337592692195744,1.56230757852653,-1.22471488633079,TRUE
"GSE191067","HNS2","normal_skin","CSF1_CSF1R","CSF1","CSF1R","negative",723,723,153,50,0.0872463706583389,0.210206113354189,-0.12295974269585,TRUE
"GSE191067","HNS2","normal_skin","PDGFB_PDGFRA","PDGFB","PDGFRA","negative",723,723,153,50,0.377014755058597,0.331137806322349,0.045876948736248,FALSE
"GSE191067","HNS2","normal_skin","MIF_CD74","MIF","CD74","positive",723,723,153,50,4.82404522105272,3.92211264679384,0.901932574258878,TRUE
"GSE191067","HNS3","normal_skin","POSTN_ITGAV_ITGB1","POSTN","ITGAV;ITGB1","positive",398,398,263,50,0.0558196260460885,0.00146173927363892,0.0543578867724496,TRUE
"GSE191067","HNS3","normal_skin","TGFB1_TGFBR","TGFB1","TGFBR1;TGFBR2","positive",398,398,263,50,0.121428057836412,0.0192103281667084,0.102217729669704,TRUE
"GSE191067","HNS3","normal_skin","CXCL12_CXCR4","CXCL12","CXCR4","negative",398,398,263,50,0.826120226261852,5.48177448446235,-4.6556542582005,TRUE
"GSE191067","HNS3","normal_skin","CSF1_CSF1R","CSF1","CSF1R","negative",398,398,263,50,0.151058153984873,0.25652447028449,-0.105466316299617,TRUE
"GSE191067","HNS3","normal_skin","PDGFB_PDGFRA","PDGFB","PDGFRA","negative",398,398,263,50,0.674335678232174,0.406540044639783,0.267795633592391,FALSE
"GSE191067","HNS3","normal_skin","MIF_CD74","MIF","CD74","positive",398,398,263,50,2.9585342317062,1.59467394710333,1.36386028460287,TRUE
"GSE191067","HNSR1","normal_scar","POSTN_ITGAV_ITGB1","POSTN","ITGAV;ITGB1","positive",452,452,179,50,0.312309521425248,0.0731043339974714,0.239205187427777,TRUE
"GSE191067","HNSR1","normal_scar","TGFB1_TGFBR","TGFB1","TGFBR1;TGFBR2","positive",452,452,179,50,0.0712337900717417,0.0290317439557921,0.0422020461159496,TRUE
"GSE191067","HNSR1","normal_scar","CXCL12_CXCR4","CXCL12","CXCR4","negative",452,452,179,50,0.196338583301984,2.47163684184205,-2.27529825854007,TRUE
"GSE191067","HNSR1","normal_scar","CSF1_CSF1R","CSF1","CSF1R","negative",452,452,179,50,0.00147755835756368,0.0456702437371561,-0.0441926853795924,TRUE
"GSE191067","HNSR1","normal_scar","PDGFB_PDGFRA","PDGFB","PDGFRA","negative",452,452,179,50,0.0211778908143369,0.218218767674034,-0.197040876859697,TRUE
"GSE191067","HNSR1","normal_scar","MIF_CD74","MIF","CD74","positive",452,452,179,50,4.50600481637175,3.59285054267295,0.913154273698801,TRUE
"GSE191067","HNSR2","normal_scar","POSTN_ITGAV_ITGB1","POSTN","ITGAV;ITGB1","positive",542,542,222,50,0.489153468943121,0.195668368983769,0.293485099959352,TRUE
"GSE191067","HNSR2","normal_scar","TGFB1_TGFBR","TGFB1","TGFBR1;TGFBR2","positive",542,542,222,50,0.031763518559964,0.0182203168279629,0.0135432017320011,TRUE
"GSE191067","HNSR2","normal_scar","CXCL12_CXCR4","CXCL12","CXCR4","negative",542,542,222,50,0.54474292465795,2.65580896422934,-2.11106603957139,TRUE
"GSE191067","HNSR2","normal_scar","CSF1_CSF1R","CSF1","CSF1R","negative",542,542,222,50,0.0220087230756344,0.124971651482963,-0.102962928407329,TRUE
"GSE191067","HNSR2","normal_scar","PDGFB_PDGFRA","PDGFB","PDGFRA","negative",542,542,222,50,0.0539003632693917,0.209491755052671,-0.155591391783279,TRUE
"GSE191067","HNSR2","normal_scar","MIF_CD74","MIF","CD74","positive",542,542,222,50,5.25887454504008,4.74654298435241,0.512331560687673,TRUE
"GSE191067","HNSR3","normal_scar","POSTN_ITGAV_ITGB1","POSTN","ITGAV;ITGB1","positive",403,403,189,50,0.0529155899806107,0.00459667422702541,0.0483189157535853,TRUE
"GSE191067","HNSR3","normal_scar","TGFB1_TGFBR","TGFB1","TGFBR1;TGFBR2","positive",403,403,189,50,0.00592334007073407,0.00514013700793631,0.000783203062797752,TRUE
"GSE191067","HNSR3","normal_scar","CXCL12_CXCR4","CXCL12","CXCR4","negative",403,403,189,50,0.217022313441409,1.04484437548739,-0.827822062045979,TRUE
"GSE191067","HNSR3","normal_scar","CSF1_CSF1R","CSF1","CSF1R","negative",403,403,189,50,0.0250662101762745,0.135118480442051,-0.110052270265777,TRUE
"GSE191067","HNSR3","normal_scar","PDGFB_PDGFRA","PDGFB","PDGFRA","negative",403,403,189,50,0.0376829734417735,0.189935092153887,-0.152252118712114,TRUE
"GSE191067","HNSR3","normal_scar","MIF_CD74","MIF","CD74","positive",403,403,189,50,2.82070778294387,3.12430768264993,-0.303599899706059,FALSE
