Data_S6_GSE90051: Do seven active lesions exceed same-patient adjacent skin?
Source file(s): anonymous_source_009.csv | Boundary: Rank-normalised sensitivity is primary because the released scale label is inconsistent.

dataset,patient_id,gsm,fixed_weight_keloid_minus_adjacent_response,rank_normalised_fixed_response,pathological_component,repair_component_reversed,genes_detected,genes_total
GSE90051,Patient_1,GSM2396556,13.846543180511578,1.8687300791323587,23.291713092455286,0.5284494189486101,18,18
GSE90051,Patient_2,GSM2396557,13.918090935573687,1.8312486993081047,23.34468773088422,0.6261860632600591,18,18
GSE90051,Patient_3,GSM2396558,25.878561948216866,2.052548491414567,43.32356473284075,1.2803615005410462,18,18
GSE90051,Patient_4,GSM2396559,29.437973978268857,1.6937300550126435,50.60017206042252,-0.40163090829807935,18,18
GSE90051,Patient_5,GSM2396560,15.13648797446566,1.7010810506919058,26.1248978430225,-0.3576401655550401,18,18
GSE90051,Patient_6,GSM2396561,8.562538058305654,1.601397786972604,14.761113336538788,-0.17771833869405354,18,18
GSE90051,Patient_7,GSM2396562,12.33782860717308,1.8019958561549259,20.806933664250852,0.3960280595662641,18,18
