Data_S20_Adrenergic: Does adrenergic pathway activation move the broad scar-state coordinate?
Source file(s): anonymous_source_041.csv | Boundary: Three replicates per group; TSN mechanism-specific activation is separated from broad FSSI response.

source,timepoint,contrast,interpretation,n_left,n_right,independent_unit,pairing_assumed_for_primary_inference,estimate,ci95_low,ci95_high,welch_df,welch_p_two_sided,left_mean,right_mean,left_sd,right_sd,indexed_mean_difference,indexed_positive_differences,indexed_total_differences
"Lou et al., Nature Communications, 2026",6 h,epinephrine_minus_control,state induction,3,3,cultured-fibroblast replicate,False,0.17021069522258997,-0.8758560425913287,1.2162774330365085,3.873065913359532,0.6716838567718897,0.056638706083871816,-0.11357198913871815,0.41220575002565096,0.49500843338211603,0.17021069522259,2,3
"Lou et al., Nature Communications, 2026",6 h,epinephrine_minus_epinephrine_metoprolol,metoprolol-associated reversal,3,3,cultured-fibroblast replicate,False,-0.0002945769709740906,-0.9303269482364304,0.9297377942944821,2.3463381995720876,0.9991462380694534,0.056638706083871816,0.05693328305484591,0.41220575002565096,0.12175331450031798,-0.00029457697097408825,2,3
"Lou et al., Nature Communications, 2026",24 h,epinephrine_minus_control,state induction,3,3,cultured-fibroblast replicate,False,-0.1269793577445707,-0.7334873938697332,0.47952867838059177,3.761218101935199,0.5851018502885689,-0.022532029209379172,0.10444732853519152,0.22563231262286132,0.29190088603643655,-0.12697935774457067,1,3
"Lou et al., Nature Communications, 2026",24 h,epinephrine_minus_epinephrine_metoprolol,metoprolol-associated reversal,3,3,cultured-fibroblast replicate,False,0.05938327011643421,-0.5781252118009629,0.6968917520338312,3.6569891914071806,0.8027875766401453,-0.022532029209379172,-0.08191529932581339,0.22563231262286132,0.309612398980497,0.05938327011643421,1,3
