Data_S12_PXD066833: Does the frozen programme translate to protein in clinical scar specimens?
Source file(s): anonymous_source_024.csv; anonymous_source_025.csv | Boundary: Twenty-six specimens; donor identity is not inferred and the score uses 11 complete-case proteins.

source_table,dataset,comparison,gene,program,detected_specimens,n_case,n_reference,mean_case,mean_reference,difference,ci_low,ci_high,p_value,fdr_within_comparison
anonymous_source_026.csv,PXD066833,hypertrophic_scar_vs_normal,APOD,repair,26,15,8,15.156884433951541,15.831599272166727,-0.674714838215186,-1.6635711619641906,0.3141414855338186,0.16255616921991128,0.2167415589598817
anonymous_source_026.csv,PXD066833,hypertrophic_scar_vs_normal,ABCA8,repair,25,14,8,11.499462051178343,12.066849830484632,-0.5673877793062889,-1.0907918237894452,-0.04398373482313267,0.03564248655146396,0.05702797848234233
anonymous_source_026.csv,PXD066833,hypertrophic_scar_vs_normal,C3,repair,26,15,8,17.594119233085873,16.824368020135463,0.7697512129504105,0.11133817708032667,1.4281642488204942,0.026617403580368106,0.047319828587321075
anonymous_source_026.csv,PXD066833,hypertrophic_scar_vs_normal,ABCA10,repair,0,0,0
anonymous_source_026.csv,PXD066833,hypertrophic_scar_vs_normal,GSTM5,repair,20,10,8,11.119380738883923,12.013151836354663,-0.89377109747074,-1.7357154586025736,-0.05182673633890644,0.03924818042725575,0.05708826243964473
anonymous_source_026.csv,PXD066833,hypertrophic_scar_vs_normal,NEGR1,repair,25,15,8,11.829597286424475,12.491382957292718,-0.6617856708682428,-1.8357041046271654,0.5121327628906798,0.2359394981476569,0.2696451407401793
anonymous_source_027.csv,PXD066833,keloid_vs_normal,,,,3,8,0.19396757910730314,-0.7715167676928771,0.9654843468001802,0.4192922990615946,1.511676394538766,0.010719697483523988
anonymous_source_027.csv,PXD066833,hypertrophic_scar_vs_normal,,,,15,8,0.3726820936147415,-0.7715167676928771,1.1441988613076186,0.8777222429414739,1.4106754796737633,1.4544485152266552e-08
anonymous_source_027.csv,PXD066833,keloid_vs_normal_NOR164_collapsed,,,,3,7,0.19396757910730314,-0.8105841392475097,1.004551718354813,0.4577797706258768,1.551323666083749,0.009602461622885404
anonymous_source_027.csv,PXD066833,hypertrophic_scar_vs_normal_NOR164_collapsed,,,,15,7,0.3726820936147415,-0.8105841392475097,1.1832662328622512,0.9152777695452922,1.4512546961792103,1.5746631627961885e-08
