Data_S17_RUNX2: Does siRUNX2 induce a concordant multi-gene state shift?
"Source file(s): anonymous_source_035.csv; anonymous_source_036.csv | Boundary: Three paired profiles; directional molecular response, not complete state restoration."

source_table,dataset_id,contrast,score_variant,paired_n,mean_reduction,ci95_low,ci95_high,ci_method,gene,mean_log2_change_siRUNX2_minus_control,paired_t_statistic,paired_t_p,mean_control_tpm,mean_siRUNX2_tpm,frozen_FSSI_gene,program,weight
anonymous_source_037.csv,GSE293677,siControl - siRUNX2,anonymous_internal_label_002,3,0.5200004428699007,-0.6538989331341377,1.693899818873939,paired_t
anonymous_source_037.csv,GSE293677,siControl - siRUNX2,anonymous_internal_label_003,3,0.5109430402306354,-0.5804459115796134,1.6023319920408843,paired_t
anonymous_source_038.csv,,,,,,,,,ASPN,-1.7800233631330495,-5.9295386220642605,0.02728325876788805,13.804351311930532,3.4770408574326432,True,pathological,0.0617263704465423
anonymous_source_038.csv,,,,,,,,,COL12A1,-1.2323828137574884,-4.712934738187143,0.04219235094377222,177.86308245934526,70.13815221857907,True,pathological,0.0521595134322424
anonymous_source_038.csv,,,,,,,,,COL5A1,-1.5619494051029676,-4.513170472849882,0.045751928928652166,421.25029098949335,156.63638730068652,True,pathological,0.067418764346943
anonymous_source_038.csv,,,,,,,,,COL16A1,-1.1339339402788655,-2.651794361425515,0.11763645315724673,124.956402934275,58.1284938849111,True,pathological,0.0492615511189597
anonymous_source_038.csv,,,,,,,,,ADAM12,-1.6126722912156781,-2.5917675838918117,0.12217878271702268,67.73871079179814,17.425647451489166,True,pathological,0.0688890648626757
anonymous_source_038.csv,,,,,,,,,FAP,-1.6740389371762319,-2.4391404585065803,0.13489371727683136,61.63082943896754,16.893784755181937,True,pathological,0.0613618314916917
anonymous_source_038.csv,,,,,,,,,C3,-2.6831480784330632,-1.7190850979048558,0.22773841171695386,4.225169447639833,0.7401724717692534,True,repair,-0.0595197718741199
anonymous_source_038.csv,,,,,,,,,PI16,-0.9779802184177938,-1.504343816413007,0.2714038436596519,0.1425443339948432,0,True,repair,-0.0749342412473934
anonymous_source_038.csv,,,,,,,,,C1QTNF3,-0.5979788603288843,-1.5020276049930854,0.271930782344956,0.5617804731503824,0.2975181439409827,True,pathological,0.0421030573985146
anonymous_source_038.csv,,,,,,,,,POSTN,-1.645542460675739,-1.3228460810478933,0.31687809423580127,328.8352321887274,73.72803630967404,True,pathological,0.0684821986835171
anonymous_source_038.csv,,,,,,,,,COMP,-1.6584421833629774,-1.2321902219264247,0.3430810775193542,4.398998224768813,5.367019680969964,True,pathological,0.0706480069482038
anonymous_source_038.csv,,,,,,,,,GSTM5,-0.17841930551280072,-1,0.42264973081037416,5.006614035064366,3.4444082872885,True,repair,-0.0283849904986365
anonymous_source_038.csv,,,,,,,,,OGN,-0.9650910627491381,-0.8357421589903343,0.49123887444263176,0.8058050240885092,0.161203836273357,True,pathological,0.0430192495915675
anonymous_source_038.csv,,,,,,,,,DCN,-0.28728338573784296,-0.36366757780666253,0.7509508268796719,286.99160405165435,215.4132023173975,True,repair,-0.0695553087678715
anonymous_source_038.csv,,,,,,,,,APOD,-0.13740089895464536,-0.09674875423338286,0.9317478289377475,12.862480810623888,8.432082584756714,True,repair,-0.0712760999351403
anonymous_source_038.csv,,,,,,,,,ABCA10,0.019231888185139285,0.024285171367479475,0.9828303219954879,0.24593059539811726,0.14750031359292334,True,repair,-0.0262749463228818
anonymous_source_038.csv,,,,,,,,,NEGR1,0.06924909194386804,0.535385954986125,0.6459470198750517,14.8247462795563,15.516294037715701,True,repair,-0.022477699457775
anonymous_source_038.csv,,,,,,,,,ABCA8,1.8888321651612408,1.1302842252061704,0.37567100460404135,0.6115343773864695,1.088689504653277,True,repair,-0.0625073335753232
