scenario,axis_id,ligand,receptor,expected_delta,dataset_id,donor_id,oriented_delta
all_matrices_distinct,POSTN_ITGAV_ITGB1,POSTN,ITGAV;ITGB1,positive,GSE163973,GSE163973:KF3_matrix,0.801762835567562
all_matrices_distinct,POSTN_ITGAV_ITGB1,POSTN,ITGAV;ITGB1,positive,GSE163973,GSE163973:NF1_matrix,-0.0055452023653584
all_matrices_distinct,POSTN_ITGAV_ITGB1,POSTN,ITGAV;ITGB1,positive,GSE163973,GSE163973:NF2_matrix,0.0931413664592004
all_matrices_distinct,POSTN_ITGAV_ITGB1,POSTN,ITGAV;ITGB1,positive,GSE163973,GSE163973:NF3_matrix,0.0496332066252571
all_matrices_distinct,POSTN_ITGAV_ITGB1,POSTN,ITGAV;ITGB1,positive,GSE181297,GSE181297:GSM5494438_Ke01,0.292808439294339
all_matrices_distinct,POSTN_ITGAV_ITGB1,POSTN,ITGAV;ITGB1,positive,GSE181297,GSE181297:GSM5494439_Ke02,0.236381856518105
all_matrices_distinct,POSTN_ITGAV_ITGB1,POSTN,ITGAV;ITGB1,positive,GSE181297,GSE181297:GSM5610149_NS02,0.351546256267405
all_matrices_distinct,POSTN_ITGAV_ITGB1,POSTN,ITGAV;ITGB1,positive,GSE243716,GSE243716:P1,0.17148154773874
all_matrices_distinct,TGFB1_TGFBR,TGFB1,TGFBR1;TGFBR2,positive,GSE163973,GSE163973:KF1_matrix,0.0289122379531753
all_matrices_distinct,TGFB1_TGFBR,TGFB1,TGFBR1;TGFBR2,positive,GSE163973,GSE163973:KF2_matrix,0.0201986220957824
all_matrices_distinct,TGFB1_TGFBR,TGFB1,TGFBR1;TGFBR2,positive,GSE163973,GSE163973:KF3_matrix,0.0353046379797788
all_matrices_distinct,TGFB1_TGFBR,TGFB1,TGFBR1;TGFBR2,positive,GSE163973,GSE163973:NF1_matrix,-0.0043079480162279
all_matrices_distinct,TGFB1_TGFBR,TGFB1,TGFBR1;TGFBR2,positive,GSE163973,GSE163973:NF2_matrix,0.0057258286624962
all_matrices_distinct,TGFB1_TGFBR,TGFB1,TGFBR1;TGFBR2,positive,GSE163973,GSE163973:NF3_matrix,0.0029798837476589
all_matrices_distinct,TGFB1_TGFBR,TGFB1,TGFBR1;TGFBR2,positive,GSE181297,GSE181297:GSM5494438_Ke01,0.0780972116725169
all_matrices_distinct,TGFB1_TGFBR,TGFB1,TGFBR1;TGFBR2,positive,GSE181297,GSE181297:GSM5494439_Ke02,0.0559838800160266
all_matrices_distinct,TGFB1_TGFBR,TGFB1,TGFBR1;TGFBR2,positive,GSE181297,GSE181297:GSM5610149_NS02,0.0219275344083786
all_matrices_distinct,TGFB1_TGFBR,TGFB1,TGFBR1;TGFBR2,positive,GSE243716,GSE243716:P1,0.0289263058878223
collapse_NF1_NF2,CSF1_CSF1R,CSF1,CSF1R,negative,GSE163973,GSE163973:KF1_matrix,0.154849645649061
collapse_NF1_NF2,CSF1_CSF1R,CSF1,CSF1R,negative,GSE163973,GSE163973:KF2_matrix,0.0524803120275105
collapse_NF1_NF2,CSF1_CSF1R,CSF1,CSF1R,negative,GSE163973,GSE163973:KF3_matrix,0.0713191904474957
collapse_NF1_NF2,CSF1_CSF1R,CSF1,CSF1R,negative,GSE163973,GSE163973:NF3_matrix,0.0364886817295592
collapse_NF1_NF2,CSF1_CSF1R,CSF1,CSF1R,negative,GSE163973,GSE163973:collapse_NF1_NF2,0.0472690469936067
collapse_NF1_NF2,CSF1_CSF1R,CSF1,CSF1R,negative,GSE181297,GSE181297:GSM5494438_Ke01,0.0585968990137355
collapse_NF1_NF2,CSF1_CSF1R,CSF1,CSF1R,negative,GSE181297,GSE181297:GSM5494439_Ke02,0.0471601880207317
collapse_NF1_NF2,CSF1_CSF1R,CSF1,CSF1R,negative,GSE181297,GSE181297:GSM5610149_NS02,0.0942442518479341
collapse_NF1_NF2,CSF1_CSF1R,CSF1,CSF1R,negative,GSE243716,GSE243716:P1,0.0470625975624232
collapse_NF1_NF2,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE163973,GSE163973:KF1_matrix,2.2993692528051
collapse_NF1_NF2,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE163973,GSE163973:KF2_matrix,1.99875522879537
collapse_NF1_NF2,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE163973,GSE163973:KF3_matrix,2.67483235862722
collapse_NF1_NF2,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE163973,GSE163973:NF3_matrix,0.530475205899595
collapse_NF1_NF2,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE163973,GSE163973:collapse_NF1_NF2,0.8235279950726729
collapse_NF1_NF2,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE181297,GSE181297:GSM5494438_Ke01,0.92043186095089
collapse_NF1_NF2,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE181297,GSE181297:GSM5494439_Ke02,0.295512066154411
collapse_NF1_NF2,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE181297,GSE181297:GSM5610149_NS02,0.793889108038143
collapse_NF1_NF2,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE243716,GSE243716:P1,0.539041514123894
collapse_NF1_NF2,MIF_CD74,MIF,CD74,positive,GSE163973,GSE163973:KF1_matrix,0.690156646702062
collapse_NF1_NF2,MIF_CD74,MIF,CD74,positive,GSE163973,GSE163973:KF2_matrix,1.38729200961263
collapse_NF1_NF2,MIF_CD74,MIF,CD74,positive,GSE163973,GSE163973:KF3_matrix,1.22301849648782
collapse_NF1_NF2,MIF_CD74,MIF,CD74,positive,GSE163973,GSE163973:NF3_matrix,0.464471410743253
collapse_NF1_NF2,MIF_CD74,MIF,CD74,positive,GSE163973,GSE163973:collapse_NF1_NF2,-0.04033844795076535
collapse_NF1_NF2,MIF_CD74,MIF,CD74,positive,GSE181297,GSE181297:GSM5494438_Ke01,0.157803496670965
collapse_NF1_NF2,MIF_CD74,MIF,CD74,positive,GSE181297,GSE181297:GSM5494439_Ke02,1.81039322081656
collapse_NF1_NF2,MIF_CD74,MIF,CD74,positive,GSE181297,GSE181297:GSM5610149_NS02,0.595261061265179
collapse_NF1_NF2,MIF_CD74,MIF,CD74,positive,GSE243716,GSE243716:P1,-0.1474749168554034
collapse_NF1_NF2,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE163973,GSE163973:KF1_matrix,0.0998398560765725
collapse_NF1_NF2,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE163973,GSE163973:KF2_matrix,0.0299840630536238
collapse_NF1_NF2,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE163973,GSE163973:KF3_matrix,0.051312376954446
collapse_NF1_NF2,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE163973,GSE163973:NF3_matrix,0.0054871959419537
collapse_NF1_NF2,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE163973,GSE163973:collapse_NF1_NF2,0.029604033754664402
collapse_NF1_NF2,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE181297,GSE181297:GSM5494438_Ke01,0.0914167617300259
collapse_NF1_NF2,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE181297,GSE181297:GSM5494439_Ke02,0.015361309707659
collapse_NF1_NF2,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE181297,GSE181297:GSM5610149_NS02,0.160556865486453
collapse_NF1_NF2,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE243716,GSE243716:P1,0.1062360229548824
collapse_NF1_NF2,POSTN_ITGAV_ITGB1,POSTN,ITGAV;ITGB1,positive,GSE163973,GSE163973:KF1_matrix,0.513546609102695
collapse_NF1_NF2,POSTN_ITGAV_ITGB1,POSTN,ITGAV;ITGB1,positive,GSE163973,GSE163973:KF2_matrix,0.880220035302991
collapse_NF1_NF2,POSTN_ITGAV_ITGB1,POSTN,ITGAV;ITGB1,positive,GSE163973,GSE163973:KF3_matrix,0.801762835567562
collapse_NF1_NF2,POSTN_ITGAV_ITGB1,POSTN,ITGAV;ITGB1,positive,GSE163973,GSE163973:NF3_matrix,0.0496332066252571
collapse_NF1_NF2,POSTN_ITGAV_ITGB1,POSTN,ITGAV;ITGB1,positive,GSE163973,GSE163973:collapse_NF1_NF2,0.043798082046921004
collapse_NF1_NF2,POSTN_ITGAV_ITGB1,POSTN,ITGAV;ITGB1,positive,GSE181297,GSE181297:GSM5494438_Ke01,0.292808439294339
collapse_NF1_NF2,POSTN_ITGAV_ITGB1,POSTN,ITGAV;ITGB1,positive,GSE181297,GSE181297:GSM5494439_Ke02,0.236381856518105
collapse_NF1_NF2,POSTN_ITGAV_ITGB1,POSTN,ITGAV;ITGB1,positive,GSE181297,GSE181297:GSM5610149_NS02,0.351546256267405
collapse_NF1_NF2,POSTN_ITGAV_ITGB1,POSTN,ITGAV;ITGB1,positive,GSE243716,GSE243716:P1,0.17148154773874
collapse_NF1_NF2,TGFB1_TGFBR,TGFB1,TGFBR1;TGFBR2,positive,GSE163973,GSE163973:KF1_matrix,0.0289122379531753
collapse_NF1_NF2,TGFB1_TGFBR,TGFB1,TGFBR1;TGFBR2,positive,GSE163973,GSE163973:KF2_matrix,0.0201986220957824
collapse_NF1_NF2,TGFB1_TGFBR,TGFB1,TGFBR1;TGFBR2,positive,GSE163973,GSE163973:KF3_matrix,0.0353046379797788
collapse_NF1_NF2,TGFB1_TGFBR,TGFB1,TGFBR1;TGFBR2,positive,GSE163973,GSE163973:NF3_matrix,0.0029798837476589
collapse_NF1_NF2,TGFB1_TGFBR,TGFB1,TGFBR1;TGFBR2,positive,GSE163973,GSE163973:collapse_NF1_NF2,0.00070894032313415
collapse_NF1_NF2,TGFB1_TGFBR,TGFB1,TGFBR1;TGFBR2,positive,GSE181297,GSE181297:GSM5494438_Ke01,0.0780972116725169
collapse_NF1_NF2,TGFB1_TGFBR,TGFB1,TGFBR1;TGFBR2,positive,GSE181297,GSE181297:GSM5494439_Ke02,0.0559838800160266
collapse_NF1_NF2,TGFB1_TGFBR,TGFB1,TGFBR1;TGFBR2,positive,GSE181297,GSE181297:GSM5610149_NS02,0.0219275344083786
collapse_NF1_NF2,TGFB1_TGFBR,TGFB1,TGFBR1;TGFBR2,positive,GSE243716,GSE243716:P1,0.0289263058878223
collapse_NF1_NF3,CSF1_CSF1R,CSF1,CSF1R,negative,GSE163973,GSE163973:KF1_matrix,0.154849645649061
collapse_NF1_NF3,CSF1_CSF1R,CSF1,CSF1R,negative,GSE163973,GSE163973:KF2_matrix,0.0524803120275105
collapse_NF1_NF3,CSF1_CSF1R,CSF1,CSF1R,negative,GSE163973,GSE163973:KF3_matrix,0.0713191904474957
collapse_NF1_NF3,CSF1_CSF1R,CSF1,CSF1R,negative,GSE163973,GSE163973:NF2_matrix,0.034945175908381
collapse_NF1_NF3,CSF1_CSF1R,CSF1,CSF1R,negative,GSE163973,GSE163973:collapse_NF1_NF3,0.0480407999041958
collapse_NF1_NF3,CSF1_CSF1R,CSF1,CSF1R,negative,GSE181297,GSE181297:GSM5494438_Ke01,0.0585968990137355
collapse_NF1_NF3,CSF1_CSF1R,CSF1,CSF1R,negative,GSE181297,GSE181297:GSM5494439_Ke02,0.0471601880207317
collapse_NF1_NF3,CSF1_CSF1R,CSF1,CSF1R,negative,GSE181297,GSE181297:GSM5610149_NS02,0.0942442518479341
collapse_NF1_NF3,CSF1_CSF1R,CSF1,CSF1R,negative,GSE243716,GSE243716:P1,0.0470625975624232
collapse_NF1_NF3,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE163973,GSE163973:KF1_matrix,2.2993692528051
collapse_NF1_NF3,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE163973,GSE163973:KF2_matrix,1.99875522879537
collapse_NF1_NF3,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE163973,GSE163973:KF3_matrix,2.67483235862722
collapse_NF1_NF3,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE163973,GSE163973:NF2_matrix,1.29743146616859
collapse_NF1_NF3,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE163973,GSE163973:collapse_NF1_NF3,0.44004986493817544
collapse_NF1_NF3,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE181297,GSE181297:GSM5494438_Ke01,0.92043186095089
collapse_NF1_NF3,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE181297,GSE181297:GSM5494439_Ke02,0.295512066154411
collapse_NF1_NF3,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE181297,GSE181297:GSM5610149_NS02,0.793889108038143
collapse_NF1_NF3,CXCL12_CXCR4,CXCL12,CXCR4,negative,GSE243716,GSE243716:P1,0.539041514123894
collapse_NF1_NF3,MIF_CD74,MIF,CD74,positive,GSE163973,GSE163973:KF1_matrix,0.690156646702062
collapse_NF1_NF3,MIF_CD74,MIF,CD74,positive,GSE163973,GSE163973:KF2_matrix,1.38729200961263
collapse_NF1_NF3,MIF_CD74,MIF,CD74,positive,GSE163973,GSE163973:KF3_matrix,1.22301849648782
collapse_NF1_NF3,MIF_CD74,MIF,CD74,positive,GSE163973,GSE163973:NF2_matrix,-0.0280695340684787
collapse_NF1_NF3,MIF_CD74,MIF,CD74,positive,GSE163973,GSE163973:collapse_NF1_NF3,0.2059320244551005
collapse_NF1_NF3,MIF_CD74,MIF,CD74,positive,GSE181297,GSE181297:GSM5494438_Ke01,0.157803496670965
collapse_NF1_NF3,MIF_CD74,MIF,CD74,positive,GSE181297,GSE181297:GSM5494439_Ke02,1.81039322081656
collapse_NF1_NF3,MIF_CD74,MIF,CD74,positive,GSE181297,GSE181297:GSM5610149_NS02,0.595261061265179
collapse_NF1_NF3,MIF_CD74,MIF,CD74,positive,GSE243716,GSE243716:P1,-0.1474749168554034
collapse_NF1_NF3,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE163973,GSE163973:KF1_matrix,0.0998398560765725
collapse_NF1_NF3,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE163973,GSE163973:KF2_matrix,0.0299840630536238
collapse_NF1_NF3,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE163973,GSE163973:KF3_matrix,0.051312376954446
collapse_NF1_NF3,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE163973,GSE163973:NF2_matrix,0.0275762639065462
collapse_NF1_NF3,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE163973,GSE163973:collapse_NF1_NF3,0.018559499772368152
collapse_NF1_NF3,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE181297,GSE181297:GSM5494438_Ke01,0.0914167617300259
collapse_NF1_NF3,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE181297,GSE181297:GSM5494439_Ke02,0.015361309707659
collapse_NF1_NF3,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE181297,GSE181297:GSM5610149_NS02,0.160556865486453
collapse_NF1_NF3,PDGFB_PDGFRA,PDGFB,PDGFRA,negative,GSE243716,GSE243716:P1,0.1062360229548824
collapse_NF1_NF3,POSTN_ITGAV_ITGB1,POSTN,ITGAV;ITGB1,positive,GSE163973,GSE163973:KF1_matrix,0.513546609102695
collapse_NF1_NF3,POSTN_ITGAV_ITGB1,POSTN,ITGAV;ITGB1,positive,GSE163973,GSE163973:KF2_matrix,0.880220035302991
collapse_NF1_NF3,POSTN_ITGAV_ITGB1,POSTN,ITGAV;ITGB1,positive,GSE163973,GSE163973:KF3_matrix,0.801762835567562
collapse_NF1_NF3,POSTN_ITGAV_ITGB1,POSTN,ITGAV;ITGB1,positive,GSE163973,GSE163973:NF2_matrix,0.0931413664592004
collapse_NF1_NF3,POSTN_ITGAV_ITGB1,POSTN,ITGAV;ITGB1,positive,GSE163973,GSE163973:collapse_NF1_NF3,0.02204400212994935
collapse_NF1_NF3,POSTN_ITGAV_ITGB1,POSTN,ITGAV;ITGB1,positive,GSE181297,GSE181297:GSM5494438_Ke01,0.292808439294339
collapse_NF1_NF3,POSTN_ITGAV_ITGB1,POSTN,ITGAV;ITGB1,positive,GSE181297,GSE181297:GSM5494439_Ke02,0.236381856518105
collapse_NF1_NF3,POSTN_ITGAV_ITGB1,POSTN,ITGAV;ITGB1,positive,GSE181297,GSE181297:GSM5610149_NS02,0.351546256267405
collapse_NF1_NF3,POSTN_ITGAV_ITGB1,POSTN,ITGAV;ITGB1,positive,GSE243716,GSE243716:P1,0.17148154773874
collapse_NF1_NF3,TGFB1_TGFBR,TGFB1,TGFBR1;TGFBR2,positive,GSE163973,GSE163973:KF1_matrix,0.0289122379531753
collapse_NF1_NF3,TGFB1_TGFBR,TGFB1,TGFBR1;TGFBR2,positive,GSE163973,GSE163973:KF2_matrix,0.0201986220957824
collapse_NF1_NF3,TGFB1_TGFBR,TGFB1,TGFBR1;TGFBR2,positive,GSE163973,GSE163973:KF3_matrix,0.0353046379797788
