model_version,lock_date,gene,min_directional_strength,mean_standardized_difference,informative_dataset_scenarios,program,raw_weight,weight,training_mean,training_sd,equal_weight
Frozen_FSSI,2026-07-11,ADAM12,1.5288704978085956,1.5733611509509726,8,pathological,1.5733611509509726,0.06888906486267571,0.7191825663921945,0.5894658910699905,0.05555555555555555
Frozen_FSSI,2026-07-11,COMP,1.4792515531925465,1.6135337262306528,8,pathological,1.6135337262306528,0.07064800694820382,1.19926067736501,0.7710931905147608,0.05555555555555555
Frozen_FSSI,2026-07-11,COL5A1,1.4725951802670076,1.5397808763995868,8,pathological,1.5397808763995868,0.06741876434694309,1.6803600795610425,0.8062458336306209,0.05555555555555555
Frozen_FSSI,2026-07-11,POSTN,1.4291451621108053,1.564068711850513,8,pathological,1.564068711850513,0.0684821986835171,2.106482138696392,1.4193352645649986,0.05555555555555555
Frozen_FSSI,2026-07-11,FAP,1.281195159368287,1.401446252938408,8,pathological,1.401446252938408,0.06136183149169178,0.7776627938743184,0.39017866764289943,0.05555555555555555
Frozen_FSSI,2026-07-11,ASPN,1.2752560078197446,1.4097719782289673,8,pathological,1.4097719782289673,0.061726370446542354,1.5140720340500984,0.9422258815579079,0.05555555555555555
Frozen_FSSI,2026-07-11,COL12A1,1.0902044122068761,1.1912740033615865,8,pathological,1.1912740033615865,0.05215951343224245,1.3276147713963176,0.6090003681973524,0.05555555555555555
Frozen_FSSI,2026-07-11,COL16A1,0.9178942597807414,1.1250872822944904,8,pathological,1.1250872822944904,0.04926155111895975,0.831794553189526,0.4115460146892294,0.05555555555555555
Frozen_FSSI,2026-07-11,OGN,0.7997402383211512,0.9825190135090319,8,pathological,0.9825190135090319,0.043019249591567534,0.9982631017317344,0.3481440867585817,0.05555555555555555
Frozen_FSSI,2026-07-11,C1QTNF3,0.7533453894128184,0.961594049492935,8,pathological,0.961594049492935,0.0421030573985146,0.5023904073951699,0.2259352251937006,0.05555555555555555
Frozen_FSSI,2026-07-11,PI16,1.6847076318026244,-1.7114272677333808,8,repair,-1.7114272677333808,-0.07493424124739341,0.5389882935051753,0.4539890848631902,-0.05555555555555555
Frozen_FSSI,2026-07-11,DCN,1.5589729959718532,-1.5885775322385187,8,repair,-1.5885775322385187,-0.06955530876787154,3.985910760336897,0.4792699621838732,-0.05555555555555555
Frozen_FSSI,2026-07-11,APOD,1.5115941735829423,-1.6278787765924267,8,repair,-1.6278787765924267,-0.0712760999351403,1.449091940804553,1.0208618820819622,-0.05555555555555555
Frozen_FSSI,2026-07-11,ABCA8,1.2420709483261827,-1.427608438189607,8,repair,-1.427608438189607,-0.06250733357532327,0.4492572207533049,0.33018165637767904,-0.05555555555555555
Frozen_FSSI,2026-07-11,C3,0.8335473170719638,-1.35937535176127,8,repair,-1.35937535176127,-0.05951977187411998,0.7549443504898857,0.5631072720522761,-0.05555555555555555
Frozen_FSSI,2026-07-11,ABCA10,0.49826176795337734,-0.6000949478723812,8,repair,-0.6000949478723812,-0.026274946322881885,0.16292232516029392,0.12594378824547153,-0.05555555555555555
Frozen_FSSI,2026-07-11,GSTM5,0.370214585163545,-0.6482863631505623,8,repair,-0.6482863631505623,-0.028384990498636554,0.19684988013487642,0.19122835776170685,-0.05555555555555555
Frozen_FSSI,2026-07-11,NEGR1,0.33737430066313556,-0.5133694173395011,8,repair,-0.5133694173395011,-0.022477699457775002,0.31334266644693964,0.1773073029198168,-0.05555555555555555
