dataset_id,donor_id,condition,fssi_frozen_weighted,fssi_frozen_equal_weight,fibroblast_cell_n,pathological_component,repair_component_reversed,Fib5_three_marker_baseline,frozen_z__ADAM12,frozen_z__COMP,frozen_z__COL5A1,frozen_z__POSTN,frozen_z__FAP,frozen_z__ASPN,frozen_z__COL12A1,frozen_z__COL16A1,frozen_z__OGN,frozen_z__C1QTNF3,frozen_z__PI16,frozen_z__DCN,frozen_z__APOD,frozen_z__ABCA8,frozen_z__C3,frozen_z__ABCA10,frozen_z__GSTM5,frozen_z__NEGR1
GSE130973,GSE130973_donor_1,healthy_skin_reference,-0.924415144279062,-0.859682354252532,979,,,,,,,,,,,,,,,,,,,,,
GSE130973,GSE130973_donor_2,healthy_skin_reference,-0.801801038890667,-0.775974788885515,904,,,,,,,,,,,,,,,,,,,,,
GSE130973,GSE130973_donor_3,healthy_skin_reference,-0.765451985260925,-0.726390221719066,1206,,,,,,,,,,,,,,,,,,,,,
GSE130973,GSE130973_donor_4,healthy_skin_reference,-0.875039843469584,-0.779254720048523,626,,,,,,,,,,,,,,,,,,,,,
GSE130973,GSE130973_donor_5,healthy_skin_reference,-0.845112586047694,-0.745403677691374,2423,,,,,,,,,,,,,,,,,,,,,
GSE156326,GSM4729097,normal_skin,-0.6152941301413052,-0.5575333822506375,577,-1.7738960084612607,0.8108745722363153,-1.4605685634184047,,-1.5174887752131911,-1.869795421169965,-1.4036483516236182,-1.904583052315368,-1.580284543882474,-1.4885772479979495,-1.5720599475216703,-2.584016916033858,-2.0446098203932754,-0.531313152064227,-1.7983011921714176,-0.32126045537370645,-1.0158516841086183,0.02685304006635524,-1.2437873084671032,-0.8156388786484985,-0.787696947123298
GSE156326,GSM4729098,normal_skin,-1.0492606548168337,-0.9176619256359675,1465,-1.2245515211616962,-0.534049931228808,-1.2706637763497006,-1.216892170646776,-1.3567696369624844,-1.5356167808062648,-1.2383295214398329,-1.0259180708871543,-1.3173089502580781,-1.4164494099930192,-1.2751054154912937,-2.177397334147441,0.314272079015391,1.5410672751910173,2.266731908689089,1.2571073126674488,-0.6879250140626788,0.04557254679828624,-0.9626410128364119,0.7483603043270727,0.06412612905664603
GSE156326,GSM4729099,normal_skin,-0.9714775803292247,-0.8805519698365122,218,-1.5723925477097611,-0.10223131972910607,-1.3111876613641673,,-1.2924242701754185,-1.837806975951369,-1.3299510525529152,-1.3820490430904002,-1.547473519733279,-1.7857332277024687,-1.4344944165494908,-2.2381754376744802,-1.3034249859580438,-0.07514531430291557,0.8741222984367216,1.472648626341048,-0.5890721467175078,-0.004283951140093145,-1.1463558614843732,0.6103255112864926,-0.32438860458651675
GSE156326,GSM4729100,hypertrophic_scar,-0.8397317400219549,-0.6359001411373512,1388,-0.6747076957687825,-0.5873906978480623,-1.3374897369156618,-1.1872073912756278,-1.5188936917270646,-0.8173623691355762,-1.306368127744284,-0.48036614017849144,-0.9455315970401877,-1.688344302356754,-1.0664624507485885,0.4004127963767911,1.8630463161419606,3.032113175519164,2.1762514149663064,0.7714578984735343,-0.7378129108465491,-0.12649207178249927,-0.6355243614897171,0.8721143907217105,-0.6529819527774473
GSE156326,GSM4729101,hypertrophic_scar,-0.6389182258949325,-0.48259237028308777,3543,-1.0426772708303333,0.21751375540096796,-0.8687970820300094,-1.2030113795802277,0.03219543099346836,-1.2919743586139887,-1.4355752975032618,-1.714533468394512,-0.7789228536902262,-1.5122717314767649,-1.4291132531408959,-2.223386698440699,1.1298209015437803,1.6930564475842798,1.474204076934206,-0.16948779330468755,-0.8817810477827454,-1.2409496272921825,-1.18856237522691,-0.4729631484349011,-0.9536265756847967
GSE156326,GSM4729102,hypertrophic_scar,0.5401385351751321,0.6332056880863005,3095,0.8036967212806948,0.42009189659330787,0.5698887848071381,0.43669133294977464,0.9447557126337945,0.14265377586254105,0.32821930883784717,0.8161736766691561,1.0379604453886848,0.28937465143662483,-0.5867353907314597,1.6262788618150459,3.0015948379449355,0.5174168427471213,0.5151758093635447,-0.9080451154737751,-0.8393150426233889,-0.15333678977823736,-0.9277379170553818,-0.5549763799370692,-1.009916579989269
GSE181316,GSM5494683,healthy_skin,-0.7496089648462834,-0.6774695763742041,2662,-1.4014864618078846,0.22755153041789486,-1.209688861002335,-1.1678331123016124,-1.4364509893060513,-1.3855195298983864,-1.0247824813993331,-1.479003701898222,-1.4414684241199367,-1.084118333268693,-1.4411241666395183,-1.9939283403244987,-1.560635538922587,0.22349585968025537,0.0009559424292997257,0.16440643065345742,-0.5737268344539548,-0.13594418692765706,-0.8475750439152968,-0.392969711424438,-0.2590546993848172
GSE181316,GSM5494684,keloid,-0.04892519072120039,0.029846602905223694,3299,0.04359572353776917,0.012660202114541842,-0.07103495993684437,-0.19396595714632203,0.38625689271091046,-0.12368078667246517,-0.4053958153751175,-0.34165113600826835,0.10585035157126352,-0.07204710606025908,-0.5427717795827398,1.4319029514314157,0.19145962050927123,0.4239579094263217,0.23843434101739353,0.3571624113648487,-0.5037946728626124,0.7548858971600366,-0.66025190797674,-0.409779421109992,-0.301896173935583
GSE181316,GSM5494685,keloid,0.8234407739916956,0.8192882955376771,9087,0.428104121030874,1.3082685136711814,0.39733488502578357,0.35787864395495034,-0.013074186008605574,0.5251946885873192,0.8472001971310089,1.0664877147618543,1.4287137287882283,0.5143673485396968,-0.5623577050320072,0.2832533359740553,-0.16662255638776688,-1.180981654633291,-1.5174666696684362,-1.3750733947847757,-1.3340449349286057,-1.313886928648777,-1.2085406377014183,-1.00758619429,-1.5285676947141378
GSE181316,GSM5494688,normal_scar,-1.0545095359572758,-1.0601983860020368,379,-1.0946894007457253,-1.017084617572427,-1.2341645111077164,-1.157267624736537,-1.277981319198492,-1.1618119853242286,-1.2672445893881121,-1.019865311318689,-1.1527896321461732,-1.353307658010033,-1.0686782152089338,-0.518151502649773,-0.9697961694762762,0.7098223237946255,0.6387882335295719,1.1736276633255647,0.9738670078107144,1.0810071847022118,1.2095205930341195,1.3887362566709853,0.9613076777116287
GSE181316,GSM5494689,normal_scar,-0.8877489636041381,-0.8202740512682878,4140,-1.5425006678271997,0.08250921943034929,-1.3050481382287307,-1.1915611625248588,-1.5372160947449445,-1.7069519694909103,-1.1863671574163799,-1.6493971937931795,-1.472517080197515,-1.67545639556354,-1.7024403835437514,-1.2298187611614095,-2.0732804798354914,-0.4882729807250312,0.9322270381691168,0.12778414410828856,-0.4962068762139423,0.2719696210615146,-0.44689883339262365,-0.1704285631576477,-0.390247305292461
GSE181316,GSM5494690,normal_scar,-0.484492416233465,-0.38943035270302007,4434,-0.9990587461004564,0.37260513904377424,-1.1056971608126551,-0.946270165289085,-1.3849531959376054,-0.5366560187385009,-0.9858681212112668,-1.1271079761918346,-0.9809499568081796,-1.670522132872026,-1.5093621803987833,0.056989383826558444,-0.9058870973838368,0.1624120898689865,0.5549924378091813,-0.7888574803038736,-0.2702995108298793,-0.6194160147552022,-0.32359626413895265,-0.555108459023185,-1.1409679109772608
GSE181316,keloid_donor_3_collapsed,keloid,0.5186561619839699,0.5546451888170217,13852,0.12963435986907318,1.0859087250019575,0.09953162198598342,-0.15467496761935087,-0.00437696301747022,0.231258304803303,0.4576467965947747,0.1762693086078625,0.3032893315130557,-0.28570157168632465,-0.5704655289901236,0.940571298281625,0.20252759020337546,-0.9698289180090628,-1.0746263596763121,-0.993452732003214,-1.2451759851221358,-1.151421987116394,-0.982117151528117,-0.9697189203374166,-1.3009277462229982
