Data_S18_Corin: Does corin reduce FSSI across independently maintained cell sources?
Source file(s): anonymous_source_039.csv | Boundary: Technical replicates are averaged within source; five keloid and two normal sources.

cell_source,context,DMSO,corin,DMSO_minus_corin
CRL-1762,keloid,0.1216467410657182,-0.07559891997090361,0.1972456610366218
PCS-201-021,normal,-0.5725159207875596,-0.2013024035531929,-0.37121351723436674
PK1,keloid,0.09107462331580918,-0.14280125156213186,0.23387587487794104
PK2,keloid,-0.09200582606590443,-0.2473103613191493,0.15530453525324486
PK3,keloid,0.10612783747762725,-0.01975233141088728,0.12588016888851453
PK4,keloid,0.40987299905354196,0.0881264602790213,0.32174653877452064
PNF4,normal,0.3786224285190518,0.15581592495897398,0.22280650356007783
